ItemID;CommonName;Genus;Species;Family
438;laurel, bog;Kalmia;polifolia;Ericaceae
439;cancerwort, sharpleaf;Kickxia;elatine;Plantaginaceae
440;cancerwort, roundleaf;Kickxia;spuria;Plantaginaceae
696;scabiosa, field;Knautia;arvensis;Dipsacaceae
441;greenmolly;Kochia;americana;Chenopodiaceae
1043;dandelion, two flower dwarf;Krigia;biflora;Asteraceae
738;dandelion, Virginia dwarf;Krigia;virginica;Asteraceae
1630;clover, Korean;Kummerowia;stipulacea;Fabaceae
950;lettuce, tall blue;Lactuca;biennis;Asteraceae
951;lettuce, Canada;Lactuca;canadensis;Asteraceae
1196;lettuce, woodland;Lactuca;floridana;Asteraceae
1819;lettuce, hirsute;Lactuca;hirsuta;Asteraceae
952;lettuce, biannual;Lactuca;ludoviciana;Asteraceae
953;lettuce, prickly;Lactuca;serriola;Asteraceae
954;lettuce, blue;Lactuca;tatarica;Asteraceae
1781;archangel, yellow;Lamiastrum;galeobdolon;Lamiaceae
442;deadnettle, henbit;Lamium;amplexicaule;Lamiaceae
443;henbit, spotted;Lamium;maculatum;Lamiaceae
444;deadnettle, purple;Lamium;purpureum;Lamiaceae
1566;nettle, Canadian wood;Laportea;canadensis;Urticaceae
17;stickseed, western;Lappula;occidentalis;Boraginaceae
338;stickseed, European;Lappula;squarrosa;Boraginaceae
955;nipplewort;Lapsana;communis;Asteraceae
445;peavine, sea;Lathyrus;japonicus;Fabaceae
92;peavine/sweetpea, perennial;Lathyrus;latifolius;Fabaceae
646;peavine, cream;Lathyrus;ochroleucus;Fabaceae
93;peavine, slenderstem;Lathyrus;palustris;Fabaceae
647;peavine, meadow;Lathyrus;pratensis;Fabaceae
447;peavine, flat;Lathyrus;sylvestris;Fabaceae
648;sweetpea, tuberous;Lathyrus;tuberosus;Fabaceae
1298;peavine, veiny;Lathyrus;venosus;Fabaceae
828;pinweed, largepod;Lechea;intermedia;Cistaceae
1259;pinweed, prairie;Lechea;stricta;Cistaceae
1260;pinweed, narrowleaf;Lechea;tenuifolia;Cistaceae
1716;duckweed, equinox;Lemna;aequinoctialis;Araceae
135;lentil, water;Lemna;minor;Araceae
1110;duckweed, little;Lemna;obscura;Araceae
1361;duckweed, minute;Lemna;perpusilla;Araceae
449;duckweed, star;Lemna;trisulca;Araceae
697;duckweed, turion;Lemna;turionifera;Araceae
956;dandelion, fall;Leontodon;autumnalis;Asteraceae
957;hawkbit, rough;Leontodon;saxatilis;Asteraceae
649;motherwort, common;Leonurus;cardiaca;Lamiaceae
372;whitetop, hairy;Lepidium;appelianum;Brassicaceae
37;pepperweed, field;Lepidium;campestre;Brassicaceae
287;peppergrass, prairie;Lepidium;densiflorum;Brassicaceae
392;swinecress, lesser;Lepidium;didymum;Brassicaceae
34;top, white;Lepidium;draba;Brassicaceae
450;pepperweed, broadleaved;Lepidium;latifolium;Brassicaceae
38;peppergrass, clasping;Lepidium;perfoliatum;Brassicaceae
451;pepperweed, roadside;Lepidium;ruderale;Brassicaceae
288;pepper-grass, tall;Lepidium;virginicum;Brassicaceae
1299;bushclover, round head;Lespedeza;capitata;Fabaceae
1631;bushclover, Chinese;Lespedeza;cuneata;Fabaceae
1300;bushclover, prairie;Lespedeza;leptostachya;Fabaceae
1744;bushclover, trailing;Lespedeza;procumbens;Fabaceae
1632;bushclover, creeping;Lespedeza;repens;Fabaceae
1640;bush-clover, shrubby;Lespedeza;thunbergii;Fabaceae
1633;bushclover, violet;Lespedeza;violacea;Fabaceae
1301;bushclover, slender;Lespedeza;virginica;Fabaceae
1197;giant-daisy;Leucanthemella;serotina;Asteraceae
958;daisy, oxeye;Leucanthemum;vulgare;Asteraceae
1556;groundcherry, large false;Leucophysalis;grandiflora;Solanaceae
1198;gayfeather, tall;Liatris;aspera;Asteraceae
1199;gayfeather, Ontario;Liatris;cylindracea;Asteraceae
959;gayfeather, Rocky Mountain;Liatris;ligulistylis;Asteraceae
960;gayfeather, dotted;Liatris;punctata;Asteraceae
1200;gayfeather, cattail;Liatris;pycnostachya;Asteraceae
